year,race_code,race_label,diabetes_prevalence_pct,n
2019,1,White NH,10.31,310316
2019,2,Black NH,14.85,31356
2019,3,AIAN NH,16.39,6546
2019,4,Asian NH,7.76,9151
2019,5,NHPI NH,12.06,2371
2019,6,Other NH,13.01,3207
2019,7,Multiracial NH,11.35,8382
2019,8,Hispanic,11.99,37310
2020,1,White NH,10.49,295505
2020,2,Black NH,15.48,30070
2020,3,AIAN NH,14.03,6794
2020,4,Asian NH,6.76,10095
2020,5,NHPI NH,12.0,2004
2020,6,Other NH,9.83,3329
2020,7,Multiracial NH,10.18,8289
2020,8,Hispanic,11.89,36223
2021,1,White NH,10.52,322277
2021,2,Black NH,15.54,32700
2021,3,AIAN NH,14.99,7248
2021,4,Asian NH,9.61,11372
2021,5,NHPI NH,11.44,1982
2021,6,Other NH,11.94,3920
2021,7,Multiracial NH,9.98,9213
2021,8,Hispanic,12.13,38273
2022,1,White NH,11.16,319954
2022,2,Black NH,15.89,35361
2022,3,AIAN NH,17.68,6927
2022,4,Asian NH,9.98,13294
2022,5,NHPI NH,15.43,2403
2022,7,Multiracial NH,11.23,9545
2022,8,Hispanic,12.84,42753
2023,1,White NH,11.3,312638
2023,2,Black NH,16.11,32813
2023,3,AIAN NH,14.51,6779
2023,4,Asian NH,9.95,12045
2023,5,NHPI NH,13.29,2088
2023,6,Other NH,12.49,3338
2023,7,Multiracial NH,9.78,10098
2023,8,Hispanic,12.58,43153
